case_id,clean_output_path,clean_quality_label,existing_facial_hair,existing_glasses,face_id,guidance_scale,image_guidance_scale,image_path,num_inference_steps,phase,priority_group,prompt,prompt_priority,prompt_slug,prompt_type,reason_selected,reject_reason,seed,selected_for_breadth_probe
face_007__add_black_sunglasses__igs_1p00,,skip_incompatible_prompt,True,True,face_007,7.5,1.0,data/face_007/instruct_512.png,20,phase3_clean_discovery,secondary_prompt_restricted,add black sunglasses,2,add_black_sunglasses,glasses,,existing_glasses_invalidate_prompt,1234,False
face_007__add_black_sunglasses__igs_1p50,,skip_incompatible_prompt,True,True,face_007,7.5,1.5,data/face_007/instruct_512.png,20,phase3_clean_discovery,secondary_prompt_restricted,add black sunglasses,2,add_black_sunglasses,glasses,,existing_glasses_invalidate_prompt,1234,False
face_007__add_black_sunglasses__igs_2p00,,skip_incompatible_prompt,True,True,face_007,7.5,2.0,data/face_007/instruct_512.png,20,phase3_clean_discovery,secondary_prompt_restricted,add black sunglasses,2,add_black_sunglasses,glasses,,existing_glasses_invalidate_prompt,1234,False
face_007__add_round_glasses__igs_1p00,,skip_incompatible_prompt,True,True,face_007,7.5,1.0,data/face_007/instruct_512.png,20,phase3_clean_discovery,secondary_prompt_restricted,add round glasses,3,add_round_glasses,glasses,,existing_glasses_invalidate_prompt,1234,False
face_007__add_round_glasses__igs_1p50,,skip_incompatible_prompt,True,True,face_007,7.5,1.5,data/face_007/instruct_512.png,20,phase3_clean_discovery,secondary_prompt_restricted,add round glasses,3,add_round_glasses,glasses,,existing_glasses_invalidate_prompt,1234,False
face_007__add_round_glasses__igs_2p00,,skip_incompatible_prompt,True,True,face_007,7.5,2.0,data/face_007/instruct_512.png,20,phase3_clean_discovery,secondary_prompt_restricted,add round glasses,3,add_round_glasses,glasses,,existing_glasses_invalidate_prompt,1234,False
face_007__add_a_small_beard__igs_1p00,,skip_incompatible_prompt,True,True,face_007,7.5,1.0,data/face_007/instruct_512.png,20,phase3_clean_discovery,secondary_prompt_restricted,add a small beard,4,add_a_small_beard,beard,,existing_facial_hair_invalidate_prompt,1234,False
face_007__add_a_small_beard__igs_1p50,,skip_incompatible_prompt,True,True,face_007,7.5,1.5,data/face_007/instruct_512.png,20,phase3_clean_discovery,secondary_prompt_restricted,add a small beard,4,add_a_small_beard,beard,,existing_facial_hair_invalidate_prompt,1234,False
face_007__add_a_small_beard__igs_2p00,,skip_incompatible_prompt,True,True,face_007,7.5,2.0,data/face_007/instruct_512.png,20,phase3_clean_discovery,secondary_prompt_restricted,add a small beard,4,add_a_small_beard,beard,,existing_facial_hair_invalidate_prompt,1234,False
face_008__add_black_sunglasses__igs_1p00,,skip_incompatible_prompt,True,True,face_008,7.5,1.0,data/face_008/instruct_512.png,20,phase3_clean_discovery,secondary_prompt_restricted,add black sunglasses,2,add_black_sunglasses,glasses,,existing_glasses_invalidate_prompt,1234,False
face_008__add_black_sunglasses__igs_1p50,,skip_incompatible_prompt,True,True,face_008,7.5,1.5,data/face_008/instruct_512.png,20,phase3_clean_discovery,secondary_prompt_restricted,add black sunglasses,2,add_black_sunglasses,glasses,,existing_glasses_invalidate_prompt,1234,False
face_008__add_black_sunglasses__igs_2p00,,skip_incompatible_prompt,True,True,face_008,7.5,2.0,data/face_008/instruct_512.png,20,phase3_clean_discovery,secondary_prompt_restricted,add black sunglasses,2,add_black_sunglasses,glasses,,existing_glasses_invalidate_prompt,1234,False
face_008__add_round_glasses__igs_1p00,,skip_incompatible_prompt,True,True,face_008,7.5,1.0,data/face_008/instruct_512.png,20,phase3_clean_discovery,secondary_prompt_restricted,add round glasses,3,add_round_glasses,glasses,,existing_glasses_invalidate_prompt,1234,False
face_008__add_round_glasses__igs_1p50,,skip_incompatible_prompt,True,True,face_008,7.5,1.5,data/face_008/instruct_512.png,20,phase3_clean_discovery,secondary_prompt_restricted,add round glasses,3,add_round_glasses,glasses,,existing_glasses_invalidate_prompt,1234,False
face_008__add_round_glasses__igs_2p00,,skip_incompatible_prompt,True,True,face_008,7.5,2.0,data/face_008/instruct_512.png,20,phase3_clean_discovery,secondary_prompt_restricted,add round glasses,3,add_round_glasses,glasses,,existing_glasses_invalidate_prompt,1234,False
face_008__add_a_small_beard__igs_1p00,,skip_incompatible_prompt,True,True,face_008,7.5,1.0,data/face_008/instruct_512.png,20,phase3_clean_discovery,secondary_prompt_restricted,add a small beard,4,add_a_small_beard,beard,,existing_facial_hair_invalidate_prompt,1234,False
face_008__add_a_small_beard__igs_1p50,,skip_incompatible_prompt,True,True,face_008,7.5,1.5,data/face_008/instruct_512.png,20,phase3_clean_discovery,secondary_prompt_restricted,add a small beard,4,add_a_small_beard,beard,,existing_facial_hair_invalidate_prompt,1234,False
face_008__add_a_small_beard__igs_2p00,,skip_incompatible_prompt,True,True,face_008,7.5,2.0,data/face_008/instruct_512.png,20,phase3_clean_discovery,secondary_prompt_restricted,add a small beard,4,add_a_small_beard,beard,,existing_facial_hair_invalidate_prompt,1234,False
